group_expense_id,user_id,date,year,month,expense_name,total_amount,user_share,participants_count,weight,paid_status,payer
GRP00020,U003,2020-12-04,2020,12,Office Team Lunch,3200.55,758.35,5,1.13,Paid,U003
GRP00020,U005,2020-12-04,2020,12,Office Team Lunch,3200.55,592.29,5,0.89,Paid,U004
GRP00021,U001,2020-12-13,2020,12,Weekend Movie,2312.34,545.56,4,0.95,Paid,U003
GRP00021,U002,2020-12-13,2020,12,Weekend Movie,2312.34,645.74,4,1.12,Paid,U005
GRP00021,U003,2020-12-13,2020,12,Weekend Movie,2312.34,467.06,4,0.81,Paid,U002
GRP00021,U005,2020-12-13,2020,12,Weekend Movie,2312.34,653.98,4,1.14,Pending,U002
GRP00022,U001,2021-01-02,2021,1,Trip to Goa,30967.7,8427.12,4,1.15,Paid,U001
GRP00022,U004,2021-01-02,2021,1,Trip to Goa,30967.7,7795.99,4,1.06,Paid,U001
GRP00022,U002,2021-01-02,2021,1,Trip to Goa,30967.7,6528.3,4,0.89,Paid,U005
GRP00022,U005,2021-01-02,2021,1,Trip to Goa,30967.7,8216.29,4,1.12,Pending,U005
GRP00023,U001,2021-01-23,2021,1,House Groceries Split,3338.68,982.87,3,0.82,Paid,U001
GRP00023,U003,2021-01-23,2021,1,House Groceries Split,3338.68,1232.95,3,1.02,Paid,U003
GRP00023,U002,2021-01-23,2021,1,House Groceries Split,3338.68,1122.86,3,0.93,Pending,U002
GRP00024,U001,2021-01-24,2021,1,Shared Uber,359.54,176.26,2,0.98,Paid,U004
GRP00024,U004,2021-01-24,2021,1,Shared Uber,359.54,183.28,2,1.02,Paid,U001
GRP00025,U001,2021-01-31,2021,1,Concert Tickets,4661.89,1643.43,3,1.06,Paid,U003
GRP00025,U003,2021-01-31,2021,1,Concert Tickets,4661.89,1672.37,3,1.07,Paid,U004
GRP00025,U004,2021-01-31,2021,1,Concert Tickets,4661.89,1346.09,3,0.86,Paid,U003
GRP00026,U001,2021-02-05,2021,2,Weekend Movie,1230.72,337.74,4,1.14,Paid,U001
GRP00026,U005,2021-02-05,2021,2,Weekend Movie,1230.72,285.81,4,0.97,Paid,U005
GRP00026,U003,2021-02-05,2021,2,Weekend Movie,1230.72,341.54,4,1.15,Pending,U005
GRP00026,U004,2021-02-05,2021,2,Weekend Movie,1230.72,265.63,4,0.9,Paid,U004
GRP00027,U001,2021-02-08,2021,2,Roommates Dinner,2116.05,575.78,3,0.81,Paid,U002
GRP00027,U002,2021-02-08,2021,2,Roommates Dinner,2116.05,843.75,3,1.19,Paid,U004
GRP00027,U004,2021-02-08,2021,2,Roommates Dinner,2116.05,696.53,3,0.99,Paid,U001
GRP00028,U001,2021-02-09,2021,2,Weekend Movie,1505.65,392.54,4,1.1,Pending,U005
GRP00028,U002,2021-02-09,2021,2,Weekend Movie,1505.65,333.65,4,0.93,Pending,U001
GRP00028,U004,2021-02-09,2021,2,Weekend Movie,1505.65,358.7,4,1.0,Paid,U002
GRP00028,U005,2021-02-09,2021,2,Weekend Movie,1505.65,420.75,4,1.17,Pending,U001
GRP00029,U001,2021-03-06,2021,3,Vacation Package,42038.88,10254.16,4,0.95,Paid,U002
GRP00029,U005,2021-03-06,2021,3,Vacation Package,42038.88,8901.86,4,0.83,Pending,U004
GRP00029,U002,2021-03-06,2021,3,Vacation Package,42038.88,10081.98,4,0.94,Pending,U004
GRP00029,U004,2021-03-06,2021,3,Vacation Package,42038.88,12800.88,4,1.19,Paid,U004
GRP00030,U001,2021-03-13,2021,3,Weekend Movie,1701.09,417.33,4,1.0,Paid,U004
GRP00030,U005,2021-03-13,2021,3,Weekend Movie,1701.09,495.34,4,1.18,Paid,U003
GRP00030,U004,2021-03-13,2021,3,Weekend Movie,1701.09,444.0,4,1.06,Paid,U004
GRP00030,U003,2021-03-13,2021,3,Weekend Movie,1701.09,344.42,4,0.82,Paid,U004
GRP00031,U001,2021-03-28,2021,3,Weekend Movie,1408.6,404.28,4,1.18,Paid,U003
GRP00031,U004,2021-03-28,2021,3,Weekend Movie,1408.6,349.84,4,1.02,Pending,U005
GRP00031,U005,2021-03-28,2021,3,Weekend Movie,1408.6,359.78,4,1.05,Paid,U004
GRP00031,U003,2021-03-28,2021,3,Weekend Movie,1408.6,294.7,4,0.86,Pending,U005
GRP00032,U001,2021-04-10,2021,4,Vacation Package,32089.35,8832.82,4,1.17,Paid,U002
GRP00032,U005,2021-04-10,2021,4,Vacation Package,32089.35,8823.78,4,1.17,Paid,U001
GRP00032,U003,2021-04-10,2021,4,Vacation Package,32089.35,8084.81,4,1.07,Paid,U005
GRP00032,U002,2021-04-10,2021,4,Vacation Package,32089.35,6347.95,4,0.84,Paid,U003
GRP00033,U001,2021-04-16,2021,4,Trip to Goa,27849.95,8439.39,4,1.2,Paid,U001
GRP00033,U004,2021-04-16,2021,4,Trip to Goa,27849.95,6711.66,4,0.95,Pending,U002
GRP00033,U002,2021-04-16,2021,4,Trip to Goa,27849.95,6893.75,4,0.98,Paid,U003
GRP00033,U003,2021-04-16,2021,4,Trip to Goa,27849.95,5805.15,4,0.82,Pending,U002
GRP00034,U001,2021-05-16,2021,5,Roommates Dinner,3692.76,1090.42,3,0.84,Pending,U005
GRP00034,U005,2021-05-16,2021,5,Roommates Dinner,3692.76,1131.45,3,0.88,Paid,U001
GRP00034,U004,2021-05-16,2021,5,Roommates Dinner,3692.76,1470.9,3,1.14,Paid,U004
GRP00035,U001,2021-05-21,2021,5,Shared Uber,375.88,214.03,2,1.16,Paid,U001
GRP00035,U002,2021-05-21,2021,5,Shared Uber,375.88,161.85,2,0.88,Paid,U001
GRP00036,U001,2021-06-22,2021,6,Birthday Party,4945.21,880.37,5,0.84,Paid,U003
GRP00036,U005,2021-06-22,2021,6,Birthday Party,4945.21,1085.66,5,1.03,Pending,U004
GRP00036,U004,2021-06-22,2021,6,Birthday Party,4945.21,1138.55,5,1.08,Paid,U001
GRP00036,U002,2021-06-22,2021,6,Birthday Party,4945.21,902.45,5,0.86,Pending,U003
GRP00036,U003,2021-06-22,2021,6,Birthday Party,4945.21,938.18,5,0.89,Paid,U002
GRP00037,U001,2021-06-27,2021,6,Office Team Lunch,2859.72,607.82,5,1.03,Pending,U004
GRP00037,U005,2021-06-27,2021,6,Office Team Lunch,2859.72,639.32,5,1.08,Pending,U002
GRP00037,U004,2021-06-27,2021,6,Office Team Lunch,2859.72,566.43,5,0.96,Paid,U002
GRP00037,U003,2021-06-27,2021,6,Office Team Lunch,2859.72,491.15,5,0.83,Paid,U002
GRP00037,U002,2021-06-27,2021,6,Office Team Lunch,2859.72,554.99,5,0.94,Pending,U005
GRP00038,U001,2021-07-03,2021,7,Office Team Lunch,2886.2,551.14,5,0.94,Paid,U003
GRP00038,U005,2021-07-03,2021,7,Office Team Lunch,2886.2,618.57,5,1.05,Paid,U002
GRP00038,U002,2021-07-03,2021,7,Office Team Lunch,2886.2,550.8,5,0.94,Pending,U003
GRP00038,U004,2021-07-03,2021,7,Office Team Lunch,2886.2,617.88,5,1.05,Paid,U003
GRP00038,U003,2021-07-03,2021,7,Office Team Lunch,2886.2,547.81,5,0.93,Paid,U003
GRP00039,U001,2021-07-10,2021,7,Concert Tickets,3424.78,1143.41,3,1.07,Paid,U001
GRP00039,U005,2021-07-10,2021,7,Concert Tickets,3424.78,1014.44,3,0.95,Paid,U003
GRP00039,U003,2021-07-10,2021,7,Concert Tickets,3424.78,1266.92,3,1.18,Paid,U003
GRP00040,U001,2021-07-27,2021,7,Roommates Dinner,2784.41,960.05,3,1.09,Paid,U001
GRP00040,U003,2021-07-27,2021,7,Roommates Dinner,2784.41,989.73,3,1.12,Paid,U001
GRP00040,U005,2021-07-27,2021,7,Roommates Dinner,2784.41,834.62,3,0.95,Paid,U003
GRP00041,U001,2021-08-16,2021,8,Vacation Package,26612.37,6657.49,4,1.04,Paid,U004
GRP00041,U005,2021-08-16,2021,8,Vacation Package,26612.37,6841.79,4,1.07,Pending,U001
GRP00041,U004,2021-08-16,2021,8,Vacation Package,26612.37,5655.23,4,0.88,Paid,U005
GRP00041,U003,2021-08-16,2021,8,Vacation Package,26612.37,7457.86,4,1.16,Paid,U003
GRP00042,U001,2021-08-29,2021,8,Shared Uber,538.23,269.23,2,1.18,Pending,U001
GRP00042,U003,2021-08-29,2021,8,Shared Uber,538.23,269.0,2,1.18,Pending,U001
GRP00043,U001,2021-08-31,2021,8,Concert Tickets,3781.63,1253.19,3,0.87,Paid,U003
GRP00043,U004,2021-08-31,2021,8,Concert Tickets,3781.63,1198.38,3,0.83,Paid,U001
GRP00043,U003,2021-08-31,2021,8,Concert Tickets,3781.63,1330.07,3,0.92,Paid,U003
GRP00044,U001,2021-09-02,2021,9,Roommates Dinner,2565.45,839.85,3,1.05,Paid,U005
GRP00044,U004,2021-09-02,2021,9,Roommates Dinner,2565.45,796.07,3,1.0,Paid,U001
GRP00044,U005,2021-09-02,2021,9,Roommates Dinner,2565.45,929.53,3,1.16,Pending,U001
GRP00045,U001,2021-09-25,2021,9,Weekend Movie,1986.39,559.99,4,1.19,Paid,U004
GRP00045,U004,2021-09-25,2021,9,Weekend Movie,1986.39,478.91,4,1.02,Paid,U005
GRP00045,U005,2021-09-25,2021,9,Weekend Movie,1986.39,468.33,4,1.0,Pending,U005
GRP00045,U003,2021-09-25,2021,9,Weekend Movie,1986.39,479.15,4,1.02,Pending,U005
GRP00046,U001,2021-10-04,2021,10,Office Team Lunch,3091.98,642.53,5,1.08,Paid,U002
GRP00046,U004,2021-10-04,2021,10,Office Team Lunch,3091.98,684.37,5,1.15,Paid,U001
GRP00046,U005,2021-10-04,2021,10,Office Team Lunch,3091.98,533.82,5,0.9,Pending,U004
GRP00046,U002,2021-10-04,2021,10,Office Team Lunch,3091.98,673.67,5,1.14,Pending,U005
GRP00046,U003,2021-10-04,2021,10,Office Team Lunch,3091.98,557.59,5,0.94,Pending,U004
GRP00047,U001,2021-10-16,2021,10,Trip to Goa,19750.87,5057.74,4,1.01,Paid,U001
GRP00047,U004,2021-10-16,2021,10,Trip to Goa,19750.87,4249.66,4,0.85,Paid,U004
GRP00047,U002,2021-10-16,2021,10,Trip to Goa,19750.87,4922.59,4,0.98,Pending,U001
GRP00047,U003,2021-10-16,2021,10,Trip to Goa,19750.87,5520.88,4,1.1,Paid,U003
GRP00048,U001,2021-11-15,2021,11,Birthday Party,3517.92,695.21,5,1.03,Pending,U003
GRP00048,U005,2021-11-15,2021,11,Birthday Party,3517.92,771.65,5,1.14,Paid,U005
GRP00048,U002,2021-11-15,2021,11,Birthday Party,3517.92,755.84,5,1.12,Paid,U002
GRP00048,U004,2021-11-15,2021,11,Birthday Party,3517.92,696.48,5,1.03,Pending,U003
GRP00048,U003,2021-11-15,2021,11,Birthday Party,3517.92,598.74,5,0.89,Pending,U005
GRP00049,U001,2021-11-19,2021,11,Roommates Dinner,2438.77,679.09,3,0.85,Paid,U003
GRP00049,U003,2021-11-19,2021,11,Roommates Dinner,2438.77,806.66,3,1.01,Paid,U003
GRP00049,U004,2021-11-19,2021,11,Roommates Dinner,2438.77,953.02,3,1.19,Paid,U004
GRP00050,U001,2021-11-24,2021,11,Trip to Goa,31974.33,6676.52,4,0.85,Pending,U001
GRP00050,U003,2021-11-24,2021,11,Trip to Goa,31974.33,8633.73,4,1.11,Paid,U001
GRP00050,U004,2021-11-24,2021,11,Trip to Goa,31974.33,7724.97,4,0.99,Pending,U002
GRP00050,U002,2021-11-24,2021,11,Trip to Goa,31974.33,8939.11,4,1.14,Pending,U001
GRP00051,U001,2021-12-09,2021,12,Roommates Dinner,3392.59,1294.93,3,1.1,Paid,U005
GRP00051,U003,2021-12-09,2021,12,Roommates Dinner,3392.59,968.8,3,0.83,Paid,U005
GRP00051,U005,2021-12-09,2021,12,Roommates Dinner,3392.59,1128.85,3,0.96,Pending,U003
GRP00052,U001,2021-12-10,2021,12,Roommates Dinner,1592.96,495.72,3,0.9,Paid,U003
GRP00052,U003,2021-12-10,2021,12,Roommates Dinner,1592.96,546.64,3,0.99,Paid,U003
GRP00052,U002,2021-12-10,2021,12,Roommates Dinner,1592.96,550.6,3,1.0,Paid,U003
GRP00053,U001,2022-01-11,2022,1,House Groceries Split,2413.38,774.46,3,0.87,Paid,U003
GRP00053,U003,2022-01-11,2022,1,House Groceries Split,2413.38,738.56,3,0.83,Paid,U005
GRP00053,U005,2022-01-11,2022,1,House Groceries Split,2413.38,900.36,3,1.02,Paid,U003
GRP00054,U001,2022-01-23,2022,1,Birthday Party,3565.8,738.9,5,1.03,Paid,U004
GRP00054,U004,2022-01-23,2022,1,Birthday Party,3565.8,663.28,5,0.92,Paid,U001
GRP00054,U005,2022-01-23,2022,1,Birthday Party,3565.8,741.82,5,1.03,Paid,U002
GRP00054,U003,2022-01-23,2022,1,Birthday Party,3565.8,615.99,5,0.86,Paid,U005
GRP00054,U002,2022-01-23,2022,1,Birthday Party,3565.8,805.81,5,1.12,Paid,U003
GRP00055,U001,2022-01-27,2022,1,Vacation Package,40686.55,8688.94,4,0.88,Paid,U001
GRP00055,U003,2022-01-27,2022,1,Vacation Package,40686.55,9892.32,4,1.01,Paid,U003
GRP00055,U005,2022-01-27,2022,1,Vacation Package,40686.55,11029.71,4,1.12,Paid,U003
GRP00055,U004,2022-01-27,2022,1,Vacation Package,40686.55,11075.58,4,1.13,Pending,U005
GRP00056,U001,2022-01-30,2022,1,Roommates Dinner,2890.22,1033.16,3,1.1,Pending,U004
GRP00056,U005,2022-01-30,2022,1,Roommates Dinner,2890.22,810.62,3,0.87,Paid,U004
GRP00056,U004,2022-01-30,2022,1,Roommates Dinner,2890.22,1046.44,3,1.12,Paid,U005
GRP00057,U001,2022-02-12,2022,2,Roommates Dinner,3894.88,1254.86,3,1.02,Paid,U004
GRP00057,U004,2022-02-12,2022,2,Roommates Dinner,3894.88,1169.46,3,0.95,Paid,U001
GRP00057,U003,2022-02-12,2022,2,Roommates Dinner,3894.88,1470.56,3,1.19,Pending,U003
GRP00058,U001,2022-02-18,2022,2,Concert Tickets,4898.63,1938.91,3,1.1,Pending,U001
GRP00058,U003,2022-02-18,2022,2,Concert Tickets,4898.63,1434.04,3,0.82,Pending,U001
GRP00058,U004,2022-02-18,2022,2,Concert Tickets,4898.63,1525.68,3,0.87,Paid,U001
GRP00059,U001,2022-02-21,2022,2,Birthday Party,5921.51,1299.47,5,1.15,Paid,U002
GRP00059,U002,2022-02-21,2022,2,Birthday Party,5921.51,1075.39,5,0.96,Paid,U005
GRP00059,U004,2022-02-21,2022,2,Birthday Party,5921.51,1192.16,5,1.06,Paid,U005
GRP00059,U003,2022-02-21,2022,2,Birthday Party,5921.51,1030.8,5,0.92,Paid,U003
GRP00059,U005,2022-02-21,2022,2,Birthday Party,5921.51,1323.69,5,1.18,Pending,U005
GRP00060,U001,2022-02-27,2022,2,Trip to Goa,31751.37,7885.75,4,1.0,Paid,U003
GRP00060,U002,2022-02-27,2022,2,Trip to Goa,31751.37,7911.15,4,1.0,Paid,U005
GRP00060,U003,2022-02-27,2022,2,Trip to Goa,31751.37,8410.98,4,1.07,Paid,U005
GRP00060,U005,2022-02-27,2022,2,Trip to Goa,31751.37,7543.5,4,0.96,Paid,U003
GRP00061,U001,2022-03-05,2022,3,Weekend Movie,2306.2,533.03,4,0.9,Pending,U004
GRP00061,U005,2022-03-05,2022,3,Weekend Movie,2306.2,619.57,4,1.05,Paid,U001
GRP00061,U003,2022-03-05,2022,3,Weekend Movie,2306.2,551.52,4,0.93,Pending,U005
GRP00061,U004,2022-03-05,2022,3,Weekend Movie,2306.2,602.09,4,1.02,Paid,U004
GRP00062,U001,2022-03-06,2022,3,Office Team Lunch,2882.56,570.46,5,0.99,Paid,U005
GRP00062,U002,2022-03-06,2022,3,Office Team Lunch,2882.56,515.44,5,0.9,Pending,U005
GRP00062,U004,2022-03-06,2022,3,Office Team Lunch,2882.56,559.56,5,0.98,Pending,U001
GRP00062,U005,2022-03-06,2022,3,Office Team Lunch,2882.56,563.2,5,0.98,Paid,U003
GRP00062,U003,2022-03-06,2022,3,Office Team Lunch,2882.56,673.9,5,1.17,Paid,U003
GRP00063,U001,2022-03-09,2022,3,Weekend Movie,2090.11,489.75,4,0.91,Paid,U004
GRP00063,U004,2022-03-09,2022,3,Weekend Movie,2090.11,550.01,4,1.02,Paid,U002
GRP00063,U002,2022-03-09,2022,3,Weekend Movie,2090.11,435.45,4,0.81,Paid,U002
GRP00063,U003,2022-03-09,2022,3,Weekend Movie,2090.11,614.89,4,1.14,Paid,U004
GRP00064,U001,2022-03-26,2022,3,Office Team Lunch,3920.31,908.06,5,1.11,Paid,U001
GRP00064,U003,2022-03-26,2022,3,Office Team Lunch,3920.31,793.48,5,0.97,Paid,U005
GRP00064,U005,2022-03-26,2022,3,Office Team Lunch,3920.31,727.33,5,0.89,Paid,U001
GRP00064,U002,2022-03-26,2022,3,Office Team Lunch,3920.31,830.37,5,1.02,Pending,U004
GRP00064,U004,2022-03-26,2022,3,Office Team Lunch,3920.31,661.08,5,0.81,Paid,U003
GRP00065,U001,2022-04-09,2022,4,Trip to Goa,16451.42,3528.54,4,0.9,Paid,U001
GRP00065,U005,2022-04-09,2022,4,Trip to Goa,16451.42,4459.84,4,1.14,Pending,U002
GRP00065,U004,2022-04-09,2022,4,Trip to Goa,16451.42,4575.75,4,1.17,Paid,U005
GRP00065,U002,2022-04-09,2022,4,Trip to Goa,16451.42,3887.29,4,0.99,Paid,U005
GRP00066,U001,2022-04-22,2022,4,Trip to Goa,25304.39,5349.3,4,0.83,Pending,U005
GRP00066,U005,2022-04-22,2022,4,Trip to Goa,25304.39,5998.61,4,0.93,Pending,U003
GRP00066,U003,2022-04-22,2022,4,Trip to Goa,25304.39,7056.01,4,1.09,Paid,U003
GRP00066,U004,2022-04-22,2022,4,Trip to Goa,25304.39,6900.48,4,1.07,Paid,U004
GRP00067,U001,2022-04-24,2022,4,Trip to Goa,25839.17,6121.89,4,0.98,Paid,U005
GRP00067,U005,2022-04-24,2022,4,Trip to Goa,25839.17,7480.05,4,1.19,Pending,U001
GRP00067,U002,2022-04-24,2022,4,Trip to Goa,25839.17,5806.45,4,0.93,Pending,U002
GRP00067,U004,2022-04-24,2022,4,Trip to Goa,25839.17,6430.78,4,1.03,Pending,U002
GRP00068,U001,2022-04-30,2022,4,Vacation Package,27761.16,7406.75,4,1.1,Pending,U004
GRP00068,U005,2022-04-30,2022,4,Vacation Package,27761.16,6977.01,4,1.04,Paid,U002
GRP00068,U004,2022-04-30,2022,4,Vacation Package,27761.16,5992.74,4,0.89,Paid,U004
GRP00068,U002,2022-04-30,2022,4,Vacation Package,27761.16,7384.65,4,1.1,Paid,U004
GRP00069,U001,2022-05-04,2022,5,Vacation Package,44871.22,10598.35,4,0.99,Paid,U001
GRP00069,U002,2022-05-04,2022,5,Vacation Package,44871.22,10027.76,4,0.94,Pending,U004
GRP00069,U005,2022-05-04,2022,5,Vacation Package,44871.22,12677.68,4,1.19,Paid,U005
GRP00069,U004,2022-05-04,2022,5,Vacation Package,44871.22,11567.44,4,1.08,Pending,U002
GRP00070,U001,2022-05-18,2022,5,Weekend Movie,1232.67,283.49,4,0.84,Paid,U001
GRP00070,U005,2022-05-18,2022,5,Weekend Movie,1232.67,394.36,4,1.16,Paid,U001
GRP00070,U004,2022-05-18,2022,5,Weekend Movie,1232.67,276.53,4,0.82,Paid,U004
GRP00070,U003,2022-05-18,2022,5,Weekend Movie,1232.67,278.3,4,0.82,Pending,U003
GRP00071,U001,2022-05-20,2022,5,Birthday Party,6618.75,1193.62,5,0.86,Pending,U004
GRP00071,U003,2022-05-20,2022,5,Birthday Party,6618.75,1286.65,5,0.93,Paid,U001
GRP00071,U005,2022-05-20,2022,5,Birthday Party,6618.75,1159.77,5,0.84,Pending,U004
GRP00071,U002,2022-05-20,2022,5,Birthday Party,6618.75,1536.41,5,1.11,Pending,U005
