event_id,user_id,event_date,year,month,event_name,event_type,predicted_expense,is_recurring
EVT00035,U001,2020-05-10,2020,5,Credit Card Payment,Bill,11293.984462332039,True
EVT00036,U001,2020-05-27,2020,5,Friend's Birthday,Celebration,3911.1528583373033,False
EVT00037,U001,2020-05-29,2020,5,Medical Checkup,Healthcare,3295.791579737196,False
EVT00038,U001,2020-06-01,2020,6,Rent Payment,Bill,21681.70302700415,True
EVT00039,U001,2020-06-05,2020,6,Utility Bills,Bill,2212.0991204397774,True
EVT00040,U001,2020-06-10,2020,6,Credit Card Payment,Bill,10491.012574853006,True
EVT00041,U001,2020-06-13,2020,6,Family Birthday,Celebration,6870.152177084823,False
EVT00042,U001,2020-06-15,2020,6,Insurance Premium,Bill,9919.404896656511,True
EVT00043,U001,2020-06-18,2020,6,Medical Checkup,Healthcare,7728.066510476746,False
EVT00044,U001,2020-07-01,2020,7,Rent Payment,Bill,15847.609207645079,True
EVT00045,U001,2020-07-05,2020,7,Utility Bills,Bill,3081.4804422961784,True
EVT00046,U001,2020-07-10,2020,7,Credit Card Payment,Bill,11051.253808782334,True
EVT00047,U001,2020-07-31,2020,7,Weekend Trip,Travel,19359.789002053774,False
EVT00048,U001,2020-08-01,2020,8,Rent Payment,Bill,13625.448435281261,True
EVT00049,U001,2020-08-01,2020,8,Car Service,Maintenance,6319.984120193782,False
EVT00050,U001,2020-08-02,2020,8,Weekend Trip,Travel,9756.571500651497,False
EVT00051,U001,2020-08-05,2020,8,Utility Bills,Bill,2212.179986007704,True
EVT00052,U001,2020-08-10,2020,8,Credit Card Payment,Bill,10178.748850647118,True
EVT00053,U001,2020-09-01,2020,9,Rent Payment,Bill,15250.10036380195,True
EVT00054,U001,2020-09-02,2020,9,Family Birthday,Celebration,3687.8060081865383,False
EVT00055,U001,2020-09-03,2020,9,Family Birthday,Celebration,4198.793972438984,False
EVT00056,U001,2020-09-05,2020,9,Utility Bills,Bill,3704.044486639359,True
EVT00057,U001,2020-09-05,2020,9,Festival Shopping,Shopping,12066.210401062333,False
EVT00058,U001,2020-09-10,2020,9,Credit Card Payment,Bill,6743.517048169149,True
EVT00059,U001,2020-09-15,2020,9,Insurance Premium,Bill,7239.797607806324,True
EVT00060,U001,2020-09-22,2020,9,Friend's Birthday,Celebration,2508.553308859279,False
EVT00061,U001,2020-10-01,2020,10,Rent Payment,Bill,16520.11249180753,True
EVT00062,U001,2020-10-05,2020,10,Utility Bills,Bill,4317.481345577194,True
EVT00063,U001,2020-10-10,2020,10,Credit Card Payment,Bill,12852.234323685963,True
EVT00064,U001,2020-10-23,2020,10,Friend's Birthday,Celebration,3934.6063913072853,False
EVT00065,U001,2020-10-27,2020,10,Furniture Purchase,Shopping,45688.98115174753,False
EVT00066,U001,2020-10-28,2020,10,Electronics Purchase,Shopping,25948.537959311823,False
EVT00067,U001,2020-11-01,2020,11,Rent Payment,Bill,19145.601641416335,True
EVT00068,U001,2020-11-02,2020,11,Family Birthday,Celebration,4514.709569376035,False
EVT00069,U001,2020-11-05,2020,11,Utility Bills,Bill,3471.831718819733,True
EVT00070,U001,2020-11-10,2020,11,Credit Card Payment,Bill,7668.935049641508,True
EVT00071,U001,2020-11-20,2020,11,Weekend Trip,Travel,9956.134317146982,False
EVT00072,U001,2020-11-23,2020,11,Professional Course,Education,5295.552623737236,False
EVT00073,U001,2020-11-26,2020,11,Family Birthday,Celebration,5335.803061441557,False
EVT00074,U001,2020-12-01,2020,12,Rent Payment,Bill,15696.184225431203,True
EVT00075,U001,2020-12-05,2020,12,Utility Bills,Bill,2916.9845864940735,True
EVT00076,U001,2020-12-10,2020,12,Credit Card Payment,Bill,10296.02655240196,True
EVT00077,U001,2020-12-14,2020,12,Electronics Purchase,Shopping,15514.780514557628,False
EVT00078,U001,2020-12-15,2020,12,Insurance Premium,Bill,11376.29757797539,True
EVT00079,U001,2020-12-25,2020,12,Car Service,Maintenance,3886.7266736230295,False
EVT00080,U001,2021-01-01,2021,1,Rent Payment,Bill,12700.927692076917,True
EVT00081,U001,2021-01-05,2021,1,Utility Bills,Bill,4962.6285617547,True
EVT00082,U001,2021-01-10,2021,1,Credit Card Payment,Bill,12184.80845249199,True
EVT00083,U001,2021-01-11,2021,1,Medical Checkup,Healthcare,5993.333508838094,False
EVT00084,U001,2021-01-18,2021,1,Home Repairs,Maintenance,4085.134377855972,False
EVT00085,U001,2021-02-01,2021,2,Rent Payment,Bill,19508.017729960175,True
EVT00086,U001,2021-02-05,2021,2,Utility Bills,Bill,4396.481566187875,True
EVT00087,U001,2021-02-10,2021,2,Credit Card Payment,Bill,5245.802052904357,True
EVT00088,U001,2021-03-01,2021,3,Rent Payment,Bill,22699.051726385016,True
EVT00089,U001,2021-03-05,2021,3,Utility Bills,Bill,4792.3645650056615,True
EVT00090,U001,2021-03-10,2021,3,Credit Card Payment,Bill,7465.000102273653,True
EVT00091,U001,2021-03-15,2021,3,Insurance Premium,Bill,10171.831308347912,True
EVT00092,U001,2021-03-19,2021,3,Long Vacation,Travel,26146.304426943527,False
EVT00093,U001,2021-03-22,2021,3,Wedding,Celebration,34923.189038473334,False
EVT00094,U001,2021-04-01,2021,4,Rent Payment,Bill,21602.093949855534,True
EVT00095,U001,2021-04-01,2021,4,Annual Tax Filing,Financial,11308.343329501178,True
EVT00096,U001,2021-04-02,2021,4,Electronics Purchase,Shopping,21183.543380848125,False
EVT00097,U001,2021-04-05,2021,4,Utility Bills,Bill,4972.61673012312,True
EVT00098,U001,2021-04-10,2021,4,Credit Card Payment,Bill,8023.492289207847,True
EVT00099,U001,2021-05-01,2021,5,Rent Payment,Bill,16454.296660339616,True
EVT00100,U001,2021-05-05,2021,5,Utility Bills,Bill,4860.2038748344,True
EVT00101,U001,2021-05-05,2021,5,Friend's Birthday,Celebration,1855.2191951922566,False
EVT00102,U001,2021-05-10,2021,5,Credit Card Payment,Bill,8182.508004460509,True
EVT00103,U001,2021-05-11,2021,5,Certification Exam,Education,10461.317279190234,False
EVT00104,U001,2021-05-19,2021,5,Weekend Trip,Travel,12057.822410400178,False
EVT00105,U001,2021-05-22,2021,5,Certification Exam,Education,8802.265703645513,False
EVT00106,U001,2021-05-30,2021,5,Professional Course,Education,23304.759772022386,False
EVT00107,U001,2021-06-01,2021,6,Rent Payment,Bill,23277.355575917572,True
EVT00108,U001,2021-06-05,2021,6,Utility Bills,Bill,4715.812021474884,True
EVT00109,U001,2021-06-10,2021,6,Credit Card Payment,Bill,9212.286546194457,True
EVT00110,U001,2021-06-15,2021,6,Insurance Premium,Bill,10896.127320349107,True
EVT00111,U001,2021-06-19,2021,6,Weekend Trip,Travel,10900.618506705663,False
EVT00112,U001,2021-06-20,2021,6,Car Service,Maintenance,6086.578319084798,False
EVT00113,U001,2021-07-01,2021,7,Rent Payment,Bill,21948.426930599457,True
EVT00114,U001,2021-07-05,2021,7,Utility Bills,Bill,4837.240934779538,True
EVT00115,U001,2021-07-07,2021,7,Furniture Purchase,Shopping,41244.27410103234,False
EVT00116,U001,2021-07-10,2021,7,Credit Card Payment,Bill,8881.744615416002,True
EVT00117,U001,2021-07-24,2021,7,Professional Course,Education,15027.359019394185,False
EVT00118,U001,2021-07-27,2021,7,Festival Shopping,Shopping,14676.152825916051,False
EVT00119,U001,2021-08-01,2021,8,Rent Payment,Bill,20496.485298347412,True
EVT00120,U001,2021-08-05,2021,8,Utility Bills,Bill,4668.245379701562,True
EVT00121,U001,2021-08-08,2021,8,Electronics Purchase,Shopping,33544.2723967975,False
EVT00122,U001,2021-08-10,2021,8,Credit Card Payment,Bill,5035.821905560398,True
EVT00123,U001,2021-08-19,2021,8,Home Repairs,Maintenance,10220.633010643885,False
EVT00124,U001,2021-09-01,2021,9,Rent Payment,Bill,23117.73612629959,True
EVT00125,U001,2021-09-05,2021,9,Utility Bills,Bill,2338.44885714934,True
EVT00126,U001,2021-09-10,2021,9,Credit Card Payment,Bill,9244.869330726302,True
EVT00127,U001,2021-09-15,2021,9,Insurance Premium,Bill,8135.7336152817115,True
EVT00128,U001,2021-10-01,2021,10,Rent Payment,Bill,24778.98246086851,True
EVT00129,U001,2021-10-05,2021,10,Utility Bills,Bill,3526.6291436860984,True
EVT00130,U001,2021-10-10,2021,10,Credit Card Payment,Bill,12836.533085439509,True
EVT00131,U001,2021-10-15,2021,10,Medical Checkup,Healthcare,3288.9350474096705,False
EVT00132,U001,2021-10-20,2021,10,Friend's Birthday,Celebration,2917.2175186453433,False
EVT00133,U001,2021-11-01,2021,11,Rent Payment,Bill,21492.24585980956,True
EVT00134,U001,2021-11-05,2021,11,Utility Bills,Bill,3278.8307102777826,True
EVT00135,U001,2021-11-10,2021,11,Credit Card Payment,Bill,10872.894446736336,True
EVT00136,U001,2021-11-22,2021,11,Furniture Purchase,Shopping,33998.97780079373,False
EVT00137,U001,2021-11-27,2021,11,Long Vacation,Travel,50661.08303491793,False
EVT00138,U001,2021-11-28,2021,11,Medical Checkup,Healthcare,7048.837689641204,False
EVT00139,U001,2021-12-01,2021,12,Rent Payment,Bill,20315.002012184865,True
EVT00140,U001,2021-12-05,2021,12,Utility Bills,Bill,2808.764930833631,True
EVT00141,U001,2021-12-09,2021,12,Professional Course,Education,20604.86578211916,False
EVT00142,U001,2021-12-10,2021,12,Credit Card Payment,Bill,8272.701434200513,True
EVT00143,U001,2021-12-15,2021,12,Insurance Premium,Bill,6091.323554556855,True
EVT00144,U001,2021-12-15,2021,12,Festival Shopping,Shopping,19080.087457321926,False
EVT00145,U001,2021-12-21,2021,12,Weekend Trip,Travel,7067.368216819008,False
EVT00146,U001,2021-12-23,2021,12,Long Vacation,Travel,45903.429882611366,False
EVT00147,U001,2022-01-01,2022,1,Rent Payment,Bill,16032.83195679706,True
EVT00148,U001,2022-01-05,2022,1,Utility Bills,Bill,4141.389927814007,True
EVT00149,U001,2022-01-10,2022,1,Credit Card Payment,Bill,9234.113116029559,True
EVT00150,U001,2022-02-01,2022,2,Rent Payment,Bill,23858.57767519355,True
EVT00151,U001,2022-02-05,2022,2,Utility Bills,Bill,4745.124775767459,True
EVT00152,U001,2022-02-10,2022,2,Credit Card Payment,Bill,6275.796511319735,True
EVT00153,U001,2022-03-01,2022,3,Rent Payment,Bill,14575.653005939088,True
EVT00154,U001,2022-03-05,2022,3,Utility Bills,Bill,3345.983101629512,True
EVT00155,U001,2022-03-10,2022,3,Credit Card Payment,Bill,9194.647217013535,True
EVT00156,U001,2022-03-15,2022,3,Insurance Premium,Bill,11073.195220385333,True
EVT00157,U001,2022-04-01,2022,4,Rent Payment,Bill,15074.262036173599,True
EVT00158,U001,2022-04-01,2022,4,Annual Tax Filing,Financial,7637.481988001563,True
EVT00159,U001,2022-04-05,2022,4,Utility Bills,Bill,2282.044589516987,True
EVT00160,U001,2022-04-05,2022,4,Medical Checkup,Healthcare,3232.695812995199,False
EVT00161,U001,2022-04-10,2022,4,Credit Card Payment,Bill,9038.176939244435,True
EVT00162,U001,2022-04-11,2022,4,Family Birthday,Celebration,8600.5286989572,False
EVT00163,U001,2022-04-14,2022,4,Furniture Purchase,Shopping,42753.370035426706,False
EVT00164,U001,2022-04-15,2022,4,Professional Course,Education,17793.578194485075,False
EVT00165,U001,2022-04-21,2022,4,Weekend Trip,Travel,9668.370063322127,False
EVT00166,U001,2022-04-23,2022,4,Furniture Purchase,Shopping,47222.72899435524,False
EVT00167,U001,2022-05-01,2022,5,Rent Payment,Bill,16703.783474607528,True
EVT00168,U001,2022-05-03,2022,5,Friend's Birthday,Celebration,3419.3562019378287,False
EVT00169,U001,2022-05-05,2022,5,Utility Bills,Bill,2509.475025506488,True
EVT00170,U001,2022-05-10,2022,5,Credit Card Payment,Bill,12480.867912883232,True
EVT00171,U001,2022-05-14,2022,5,Friend's Birthday,Celebration,2834.9495144516495,False
EVT00172,U001,2022-05-22,2022,5,Medical Checkup,Healthcare,2383.1430120661394,False
EVT00173,U001,2022-05-23,2022,5,Wedding,Celebration,20022.220906299553,False
EVT00174,U001,2022-06-01,2022,6,Rent Payment,Bill,12033.674970889266,True
EVT00175,U001,2022-06-05,2022,6,Utility Bills,Bill,4553.419983186339,True
EVT00176,U001,2022-06-10,2022,6,Credit Card Payment,Bill,9917.601872351512,True
EVT00177,U001,2022-06-15,2022,6,Insurance Premium,Bill,11837.649154820214,True
EVT00178,U001,2022-06-26,2022,6,Electronics Purchase,Shopping,24079.32668919248,False
EVT00179,U001,2022-07-01,2022,7,Rent Payment,Bill,24314.120246280574,True
EVT00180,U001,2022-07-02,2022,7,Medical Checkup,Healthcare,6916.91270111645,False
EVT00181,U001,2022-07-05,2022,7,Utility Bills,Bill,4756.477912513703,True
EVT00182,U001,2022-07-08,2022,7,Home Repairs,Maintenance,10581.747752349213,False
EVT00183,U001,2022-07-10,2022,7,Credit Card Payment,Bill,7561.134903322013,True
EVT00184,U001,2022-07-13,2022,7,Long Vacation,Travel,50298.16993830093,False
EVT00185,U001,2022-07-24,2022,7,Home Repairs,Maintenance,9243.786703978243,False
EVT00186,U001,2022-07-31,2022,7,Electronics Purchase,Shopping,23987.205616846717,False
EVT00187,U001,2022-08-01,2022,8,Rent Payment,Bill,24436.25899732451,True
EVT00188,U001,2022-08-05,2022,8,Utility Bills,Bill,4085.1536056332393,True
EVT00189,U001,2022-08-10,2022,8,Credit Card Payment,Bill,12736.536015397927,True
EVT00190,U001,2022-08-23,2022,8,Wedding,Celebration,13528.204628940843,False
EVT00191,U001,2022-09-01,2022,9,Rent Payment,Bill,20565.508390048693,True
EVT00192,U001,2022-09-05,2022,9,Utility Bills,Bill,4992.86818313247,True
EVT00193,U001,2022-09-05,2022,9,Certification Exam,Education,6384.022660391982,False
EVT00194,U001,2022-09-09,2022,9,Friend's Birthday,Celebration,3939.1608837040476,False
EVT00195,U001,2022-09-10,2022,9,Credit Card Payment,Bill,6346.697102892314,True
EVT00196,U001,2022-09-15,2022,9,Insurance Premium,Bill,5670.664090754856,True
EVT00197,U001,2022-09-28,2022,9,Wedding,Celebration,19856.477253074267,False
EVT00198,U001,2022-10-01,2022,10,Rent Payment,Bill,22720.804051930354,True
EVT00199,U001,2022-10-02,2022,10,Weekend Trip,Travel,7630.74615399216,False
EVT00200,U001,2022-10-05,2022,10,Utility Bills,Bill,2843.9542650461244,True
EVT00201,U001,2022-10-10,2022,10,Credit Card Payment,Bill,9115.491317803231,True
EVT00202,U001,2022-10-17,2022,10,Long Vacation,Travel,24852.945918956273,False
EVT00203,U001,2022-10-25,2022,10,Car Service,Maintenance,2827.612953760248,False
EVT00204,U001,2022-11-01,2022,11,Rent Payment,Bill,23413.84575192385,True
EVT00205,U001,2022-11-05,2022,11,Utility Bills,Bill,4530.13117392258,True
EVT00206,U001,2022-11-10,2022,11,Credit Card Payment,Bill,5344.311393640817,True
EVT00207,U001,2022-11-20,2022,11,Weekend Trip,Travel,7040.68652440947,False
EVT00208,U001,2022-11-22,2022,11,Certification Exam,Education,7472.796574723852,False
EVT00209,U001,2022-12-01,2022,12,Rent Payment,Bill,22152.483151297434,True
EVT00210,U001,2022-12-02,2022,12,Doctor Appointment,Healthcare,1822.1669400832295,False
EVT00211,U001,2022-12-05,2022,12,Utility Bills,Bill,3920.4606857755657,True
EVT00212,U001,2022-12-10,2022,12,Credit Card Payment,Bill,12397.420157128265,True
EVT00213,U001,2022-12-15,2022,12,Insurance Premium,Bill,6415.0063205579,True
EVT00214,U001,2022-12-21,2022,12,Festival Shopping,Shopping,19560.16006304339,False
EVT00215,U001,2023-01-01,2023,1,Rent Payment,Bill,12638.13522220841,True
EVT00216,U001,2023-01-05,2023,1,Utility Bills,Bill,4944.077433385475,True
EVT00217,U001,2023-01-10,2023,1,Credit Card Payment,Bill,13402.608126864981,True
EVT00218,U001,2023-01-13,2023,1,Medical Checkup,Healthcare,6239.086830180548,False
EVT00219,U001,2023-01-14,2023,1,Professional Course,Education,17348.668587517102,False
EVT00220,U001,2023-01-19,2023,1,Home Repairs,Maintenance,3151.152511619686,False
EVT00221,U001,2023-02-01,2023,2,Rent Payment,Bill,17598.328461605175,True
EVT00222,U001,2023-02-02,2023,2,Professional Course,Education,12605.983967808399,False
EVT00223,U001,2023-02-05,2023,2,Utility Bills,Bill,2733.097414512494,True
EVT00224,U001,2023-02-10,2023,2,Credit Card Payment,Bill,7927.155614450303,True
EVT00225,U001,2023-02-11,2023,2,Certification Exam,Education,12289.218899587951,False
EVT00226,U001,2023-03-01,2023,3,Rent Payment,Bill,23005.349976139336,True
EVT00227,U001,2023-03-05,2023,3,Utility Bills,Bill,2847.981588927088,True
EVT00228,U001,2023-03-10,2023,3,Credit Card Payment,Bill,10422.356402768666,True
EVT00229,U001,2023-03-12,2023,3,Weekend Trip,Travel,5784.13665372305,False
EVT00230,U001,2023-03-15,2023,3,Insurance Premium,Bill,11048.71531818062,True
EVT00231,U001,2023-03-21,2023,3,Certification Exam,Education,6737.082585817892,False
EVT00232,U001,2023-03-31,2023,3,Long Vacation,Travel,59924.99242960059,False
EVT00233,U001,2023-04-01,2023,4,Rent Payment,Bill,24067.281692409284,True
EVT00234,U001,2023-04-01,2023,4,Annual Tax Filing,Financial,14555.691429630515,True
EVT00235,U001,2023-04-05,2023,4,Utility Bills,Bill,4238.305624707487,True
EVT00236,U001,2023-04-10,2023,4,Credit Card Payment,Bill,10382.97257143984,True
EVT00237,U001,2023-04-13,2023,4,Weekend Trip,Travel,15992.48375116741,False
EVT00238,U001,2023-05-01,2023,5,Rent Payment,Bill,24969.432137376843,True
EVT00239,U001,2023-05-05,2023,5,Utility Bills,Bill,3163.8030397238904,True
EVT00240,U001,2023-05-06,2023,5,Doctor Appointment,Healthcare,978.832966223089,False
EVT00241,U001,2023-05-10,2023,5,Credit Card Payment,Bill,14055.336353506915,True
EVT00242,U001,2023-06-01,2023,6,Rent Payment,Bill,22574.302666038333,True
EVT00243,U001,2023-06-05,2023,6,Utility Bills,Bill,4881.647903582256,True
EVT00244,U001,2023-06-10,2023,6,Credit Card Payment,Bill,13360.804418058893,True
EVT00245,U001,2023-06-12,2023,6,Electronics Purchase,Shopping,41164.51362019487,False
EVT00246,U001,2023-06-15,2023,6,Insurance Premium,Bill,7134.09837361315,True
EVT00247,U001,2023-07-01,2023,7,Rent Payment,Bill,16740.334173848572,True
EVT00248,U001,2023-07-05,2023,7,Utility Bills,Bill,3696.554085182881,True
EVT00249,U001,2023-07-10,2023,7,Credit Card Payment,Bill,5018.7816454073345,True
EVT00250,U001,2023-07-15,2023,7,Festival Shopping,Shopping,10760.244276478661,False
EVT00251,U001,2023-07-19,2023,7,Festival Shopping,Shopping,24352.134801252654,False
EVT00252,U001,2023-07-21,2023,7,Electronics Purchase,Shopping,45001.69234588741,False
EVT00253,U001,2023-07-27,2023,7,Home Repairs,Maintenance,5495.249669096071,False
EVT00254,U001,2023-08-01,2023,8,Rent Payment,Bill,20126.077744114744,True
EVT00255,U001,2023-08-05,2023,8,Utility Bills,Bill,2484.9114362345113,True
EVT00256,U001,2023-08-10,2023,8,Credit Card Payment,Bill,6215.107344098728,True
EVT00257,U001,2023-08-24,2023,8,Weekend Trip,Travel,12982.318426893264,False
EVT00258,U001,2023-09-01,2023,9,Rent Payment,Bill,20007.27787696607,True
EVT00259,U001,2023-09-05,2023,9,Utility Bills,Bill,2338.5292750663452,True
EVT00260,U001,2023-09-06,2023,9,Electronics Purchase,Shopping,31146.494304682008,False
EVT00261,U001,2023-09-10,2023,9,Credit Card Payment,Bill,12548.536361917993,True
EVT00262,U001,2023-09-15,2023,9,Insurance Premium,Bill,5526.411262561293,True
EVT00263,U001,2023-09-23,2023,9,Festival Shopping,Shopping,11153.192179026377,False
EVT00264,U001,2023-09-25,2023,9,Festival Shopping,Shopping,19694.843630479507,False
EVT00265,U001,2023-09-26,2023,9,Wedding,Celebration,24671.030164682837,False
EVT00266,U001,2023-10-01,2023,10,Rent Payment,Bill,13124.430511950664,True
EVT00267,U001,2023-10-05,2023,10,Utility Bills,Bill,3995.561740445367,True
EVT00268,U001,2023-10-10,2023,10,Credit Card Payment,Bill,13582.546338570615,True
EVT00269,U001,2023-10-26,2023,10,Weekend Trip,Travel,6811.815823064169,False
EVT00270,U001,2023-11-01,2023,11,Rent Payment,Bill,18426.048957204468,True
EVT00271,U001,2023-11-02,2023,11,Doctor Appointment,Healthcare,1823.7032131164647,False
EVT00272,U001,2023-11-05,2023,11,Utility Bills,Bill,3795.495035754369,True
EVT00273,U001,2023-11-10,2023,11,Credit Card Payment,Bill,14859.238195396045,True
EVT00274,U001,2023-11-21,2023,11,Medical Checkup,Healthcare,5261.6918471398385,False
EVT00275,U001,2023-12-01,2023,12,Rent Payment,Bill,16072.251584459938,True
EVT00276,U001,2023-12-05,2023,12,Utility Bills,Bill,2330.7461950540996,True
EVT00277,U001,2023-12-10,2023,12,Credit Card Payment,Bill,7356.193372351476,True
EVT00278,U001,2023-12-15,2023,12,Insurance Premium,Bill,7182.051352062663,True
EVT00279,U001,2024-01-01,2024,1,Rent Payment,Bill,22812.58170331048,True
EVT00280,U001,2024-01-05,2024,1,Utility Bills,Bill,4787.269520835244,True
EVT00281,U001,2024-01-10,2024,1,Credit Card Payment,Bill,14134.446855045371,True
EVT00282,U001,2024-01-15,2024,1,Family Birthday,Celebration,4770.265919157078,False
EVT00283,U001,2024-02-01,2024,2,Rent Payment,Bill,18026.623594686465,True
EVT00284,U001,2024-02-01,2024,2,Family Birthday,Celebration,3678.852101791933,False
EVT00285,U001,2024-02-05,2024,2,Utility Bills,Bill,2757.0997632757353,True
EVT00286,U001,2024-02-10,2024,2,Credit Card Payment,Bill,6129.703280170536,True
EVT00287,U001,2024-02-11,2024,2,Electronics Purchase,Shopping,46079.69919790847,False
EVT00288,U001,2024-03-01,2024,3,Rent Payment,Bill,16242.987406636337,True
EVT00289,U001,2024-03-05,2024,3,Utility Bills,Bill,4828.659097702575,True
EVT00290,U001,2024-03-10,2024,3,Credit Card Payment,Bill,5642.08834584991,True
EVT00291,U001,2024-03-15,2024,3,Insurance Premium,Bill,6100.905666144907,True
EVT00292,U001,2024-04-01,2024,4,Rent Payment,Bill,14587.017539839893,True
EVT00293,U001,2024-04-01,2024,4,Annual Tax Filing,Financial,7389.261112719655,True
EVT00294,U001,2024-04-05,2024,4,Utility Bills,Bill,4382.3631301794985,True
EVT00295,U001,2024-04-10,2024,4,Credit Card Payment,Bill,12088.398479501884,True
EVT00296,U001,2024-04-14,2024,4,Long Vacation,Travel,31728.28011131263,False
EVT00297,U001,2024-05-01,2024,5,Rent Payment,Bill,17011.206735453376,True
EVT00298,U001,2024-05-05,2024,5,Utility Bills,Bill,2999.7860224504693,True
EVT00299,U001,2024-05-09,2024,5,Electronics Purchase,Shopping,43479.320144590325,False
EVT00300,U001,2024-05-10,2024,5,Credit Card Payment,Bill,11280.796062523481,True
EVT00301,U001,2024-05-17,2024,5,Furniture Purchase,Shopping,18638.54584492487,False
EVT00302,U001,2024-05-23,2024,5,Festival Shopping,Shopping,23959.288928638503,False
EVT00303,U001,2024-05-24,2024,5,Medical Checkup,Healthcare,3788.8490036959793,False
EVT00304,U001,2024-06-01,2024,6,Rent Payment,Bill,19710.648365685134,True
EVT00305,U001,2024-06-05,2024,6,Utility Bills,Bill,3860.5438806956113,True
EVT00306,U001,2024-06-10,2024,6,Credit Card Payment,Bill,7359.585899767444,True
EVT00307,U001,2024-06-15,2024,6,Insurance Premium,Bill,8711.722021630845,True
EVT00308,U001,2024-06-21,2024,6,Weekend Trip,Travel,6020.1551477334315,False
EVT00309,U001,2024-06-29,2024,6,Car Service,Maintenance,6249.675300167445,False
EVT00310,U001,2024-07-01,2024,7,Rent Payment,Bill,16084.447739285211,True
EVT00311,U001,2024-07-05,2024,7,Utility Bills,Bill,2664.6940590411095,True
EVT00312,U001,2024-07-07,2024,7,Friend's Birthday,Celebration,4244.499336462737,False
EVT00313,U001,2024-07-10,2024,7,Credit Card Payment,Bill,14375.56474793299,True
EVT00314,U001,2024-08-01,2024,8,Rent Payment,Bill,13076.172474288307,True
EVT00315,U001,2024-08-05,2024,8,Utility Bills,Bill,3858.4059118234477,True
EVT00316,U001,2024-08-07,2024,8,Medical Checkup,Healthcare,2680.3728634409063,False
EVT00317,U001,2024-08-10,2024,8,Credit Card Payment,Bill,9744.258953923494,True
EVT00318,U001,2024-09-01,2024,9,Rent Payment,Bill,21791.328141059646,True
EVT00319,U001,2024-09-05,2024,9,Utility Bills,Bill,3786.736197031124,True
EVT00320,U001,2024-09-06,2024,9,Furniture Purchase,Shopping,51593.91551213684,False
EVT00321,U001,2024-09-10,2024,9,Credit Card Payment,Bill,9150.808990650987,True
EVT00322,U001,2024-09-14,2024,9,Electronics Purchase,Shopping,35103.25660515646,False
