transaction_id,user_id,date,year,month,amount,category,transaction_type,description,payment_method,is_recurring,merchant
TXN000069,U001,2020-02-05,2020,2,14342.48,Investment,debit,PPF,Bank Transfer,True,PPF
TXN000070,U001,2020-02-05,2020,2,13205.49,Investment,debit,PPF,Bank Transfer,True,PPF
TXN000071,U001,2020-02-07,2020,2,2101.57,Groceries,debit,Local Kirana,Cash,False,Local Kirana
TXN000072,U001,2020-02-07,2020,2,1201.53,Transport,debit,Parking,Credit Card,False,Metro Card
TXN000073,U001,2020-02-08,2020,2,2097.24,Dining,debit,Domino's,Cash,False,Domino's
TXN000074,U001,2020-02-08,2020,2,565.56,Transport,debit,Petrol,Credit Card,False,Parking
TXN000075,U001,2020-02-08,2020,2,898.98,Subscriptions,debit,Magazine,UPI,True,Magazine
TXN000076,U001,2020-02-09,2020,2,957.17,Transport,debit,Auto,Credit Card,False,Parking
TXN000077,U001,2020-02-10,2020,2,1439.15,Transport,debit,Auto,Credit Card,False,Parking
TXN000078,U001,2020-02-11,2020,2,2432.51,Groceries,debit,More Supermarket,Debit Card,False,Reliance Fresh
TXN000079,U001,2020-02-11,2020,2,910.16,Transport,debit,Parking,Credit Card,False,Auto
TXN000080,U001,2020-02-12,2020,2,1184.18,Groceries,debit,More Supermarket,UPI,False,DMart
TXN000081,U001,2020-02-12,2020,2,2075.94,Dining,debit,Domino's,UPI,False,Swiggy
TXN000082,U001,2020-02-12,2020,2,1599.96,Entertainment,debit,Spotify,UPI,False,BookMyShow
TXN000083,U001,2020-02-12,2020,2,2802.89,Utilities,debit,DTH Recharge,UPI,True,DTH Recharge
TXN000084,U001,2020-02-13,2020,2,1604.64,Healthcare,debit,Pharmacy,Credit Card,False,Doctor Consultation
TXN000085,U001,2020-02-13,2020,2,1341.47,Transport,debit,Parking,Debit Card,False,Parking
TXN000086,U001,2020-02-15,2020,2,873.57,Dining,debit,Swiggy,Credit Card,False,Domino's
TXN000087,U001,2020-02-15,2020,2,921.95,Entertainment,debit,Gaming,Debit Card,False,Gaming
TXN000088,U001,2020-02-15,2020,2,1279.48,Transport,debit,Metro Card,UPI,False,Metro Card
TXN000089,U001,2020-02-16,2020,2,1899.32,Travel,debit,IndiGo,Credit Card,False,Uber
TXN000090,U001,2020-02-16,2020,2,2166.55,Transport,debit,Auto,Cash,False,Petrol
TXN000091,U001,2020-02-17,2020,2,967.57,Entertainment,debit,Amazon Prime,UPI,False,Spotify
TXN000092,U001,2020-02-17,2020,2,6417.74,Shopping,debit,Nike Store,Debit Card,False,Local Mall
TXN000093,U001,2020-02-18,2020,2,2145.66,Groceries,debit,More Supermarket,Debit Card,False,Local Kirana
TXN000094,U001,2020-02-18,2020,2,1263.52,Dining,debit,Swiggy,UPI,False,Zomato
TXN000095,U001,2020-02-20,2020,2,21390.89,Travel,debit,Indian Railways,Credit Card,False,Ola
TXN000096,U001,2020-02-21,2020,2,853.33,Dining,debit,Domino's,UPI,False,Local Restaurant
TXN000097,U001,2020-02-22,2020,2,1958.98,Dining,debit,Local Restaurant,UPI,False,Swiggy
TXN000098,U001,2020-02-22,2020,2,678.55,Transport,debit,Parking,Debit Card,False,Metro Card
TXN000099,U001,2020-02-23,2020,2,1190.83,Dining,debit,Swiggy,Cash,False,Swiggy
TXN000100,U001,2020-02-23,2020,2,3572.59,Shopping,debit,Nike Store,Cash,False,Myntra
TXN000101,U001,2020-02-23,2020,2,1403.93,Transport,debit,Parking,Credit Card,False,Parking
TXN000102,U001,2020-02-24,2020,2,2555.79,Groceries,debit,DMart,UPI,False,More Supermarket
TXN000103,U001,2020-02-25,2020,2,979.81,Transport,debit,Auto,Credit Card,False,Auto
TXN000104,U001,2020-02-26,2020,2,3580.17,Dining,debit,Local Restaurant,Cash,False,McDonald's
TXN000105,U001,2020-02-28,2020,2,2255.03,Groceries,debit,More Supermarket,Credit Card,False,Reliance Fresh
TXN000106,U001,2020-02-28,2020,2,1408.14,Transport,debit,Parking,Debit Card,False,Petrol
TXN000107,U001,2020-02-29,2020,2,1115.42,Transport,debit,Parking,Debit Card,False,Metro Card
TXN000108,U001,2020-03-01,2020,3,55000.0,Salary,credit,Monthly Salary Credit,Bank Transfer,True,Employer
TXN000109,U001,2020-03-01,2020,3,1692.88,Transport,debit,Metro Card,Cash,False,Petrol
TXN000110,U001,2020-03-03,2020,3,2265.76,Transport,debit,Auto,Credit Card,False,Metro Card
TXN000111,U001,2020-03-04,2020,3,1098.07,Dining,debit,Swiggy,Cash,False,Swiggy
TXN000112,U001,2020-03-04,2020,3,4770.42,Shopping,debit,Flipkart,Debit Card,False,Amazon
TXN000113,U001,2020-03-04,2020,3,2018.3,Transport,debit,Metro Card,Cash,False,Parking
TXN000114,U001,2020-03-04,2020,3,765.76,Subscriptions,debit,Cloud Storage,Cash,True,Gym Membership
TXN000115,U001,2020-03-05,2020,3,951.81,Groceries,debit,Reliance Fresh,Cash,False,BigBasket
TXN000116,U001,2020-03-05,2020,3,2512.98,Dining,debit,Swiggy,Debit Card,False,Cafe
TXN000117,U001,2020-03-05,2020,3,3674.2,Shopping,debit,Nike Store,Credit Card,False,Local Mall
TXN000118,U001,2020-03-05,2020,3,4856.75,Investment,debit,Mutual Fund SIP,Bank Transfer,True,Mutual Fund SIP
TXN000119,U001,2020-03-05,2020,3,4758.42,Investment,debit,Mutual Fund SIP,Bank Transfer,True,Mutual Fund SIP
TXN000120,U001,2020-03-05,2020,3,8172.01,Investment,debit,Mutual Fund SIP,Bank Transfer,True,Mutual Fund SIP
TXN000121,U001,2020-03-06,2020,3,1971.88,Dining,debit,Zomato,Cash,False,Cafe
TXN000122,U001,2020-03-06,2020,3,2227.04,Healthcare,debit,Pharmacy,UPI,False,Lab Tests
TXN000123,U001,2020-03-08,2020,3,3616.76,Entertainment,debit,Gaming,UPI,False,Amazon Prime
TXN000124,U001,2020-03-08,2020,3,1116.55,Transport,debit,Auto,Cash,False,Auto
TXN000125,U001,2020-03-09,2020,3,1065.51,Entertainment,debit,Spotify,Credit Card,False,Netflix
TXN000126,U001,2020-03-11,2020,3,3224.77,Entertainment,debit,Spotify,Credit Card,False,Amazon Prime
TXN000127,U001,2020-03-11,2020,3,1814.92,Transport,debit,Metro Card,UPI,False,Metro Card
TXN000128,U001,2020-03-12,2020,3,2115.28,Groceries,debit,Reliance Fresh,Debit Card,False,Reliance Fresh
TXN000129,U001,2020-03-12,2020,3,8856.12,Travel,debit,IndiGo,Cash,False,IndiGo
TXN000130,U001,2020-03-13,2020,3,614.86,Entertainment,debit,Netflix,Debit Card,False,Amazon Prime
TXN000131,U001,2020-03-13,2020,3,1084.49,Transport,debit,Auto,Debit Card,False,Auto
TXN000132,U001,2020-03-14,2020,3,2346.75,Dining,debit,Domino's,Credit Card,False,Swiggy
TXN000133,U001,2020-03-14,2020,3,1900.35,Transport,debit,Auto,Cash,False,Metro Card
TXN000134,U001,2020-03-15,2020,3,1968.16,Groceries,debit,DMart,UPI,False,Reliance Fresh
TXN000135,U001,2020-03-15,2020,3,1798.62,Dining,debit,Domino's,Cash,False,Zomato
TXN000136,U001,2020-03-15,2020,3,2476.87,Transport,debit,Parking,Debit Card,False,Metro Card
TXN000137,U001,2020-03-15,2020,3,29930.62,Investment,debit,Fixed Deposit,Bank Transfer,False,Fixed Deposit
TXN000138,U001,2020-03-16,2020,3,507.26,Dining,debit,Local Restaurant,Cash,False,Zomato
TXN000139,U001,2020-03-17,2020,3,1264.3,Dining,debit,Zomato,UPI,False,Local Restaurant
TXN000140,U001,2020-03-17,2020,3,579.59,Transport,debit,Auto,UPI,False,Metro Card
TXN000141,U001,2020-03-18,2020,3,1672.44,Groceries,debit,Local Kirana,Debit Card,False,Reliance Fresh
TXN000142,U001,2020-03-19,2020,3,1297.47,Groceries,debit,Local Kirana,UPI,False,BigBasket
TXN000143,U001,2020-03-19,2020,3,2978.44,Healthcare,debit,Hospital,Debit Card,False,Doctor Consultation
TXN000144,U001,2020-03-19,2020,3,3969.56,Shopping,debit,Amazon,Cash,False,Myntra
TXN000145,U001,2020-03-23,2020,3,3603.17,Groceries,debit,Local Kirana,Debit Card,False,DMart
TXN000146,U001,2020-03-23,2020,3,4818.87,Shopping,debit,Flipkart,Credit Card,False,Amazon
TXN000147,U001,2020-03-23,2020,3,13138.15,Investment,debit,Stocks,Bank Transfer,False,Stocks
TXN000148,U001,2020-03-24,2020,3,5244.12,Shopping,debit,Amazon,Debit Card,False,Local Mall
TXN000149,U001,2020-03-25,2020,3,2575.91,Utilities,debit,Mobile Recharge,UPI,True,Mobile Recharge
TXN000150,U001,2020-03-26,2020,3,1742.1,Groceries,debit,DMart,Credit Card,False,More Supermarket
TXN000151,U001,2020-03-26,2020,3,1124.64,Transport,debit,Metro Card,Cash,False,Auto
TXN000152,U001,2020-03-26,2020,3,4917.87,Insurance,debit,Life Insurance,UPI,True,Life Insurance
TXN000153,U001,2020-03-27,2020,3,1490.62,Groceries,debit,BigBasket,Cash,False,More Supermarket
TXN000154,U001,2020-03-27,2020,3,3089.9,Dining,debit,Cafe,UPI,False,Cafe
TXN000155,U001,2020-03-28,2020,3,874.27,Transport,debit,Metro Card,Debit Card,False,Metro Card
TXN000156,U001,2020-03-29,2020,3,2234.45,Dining,debit,McDonald's,Debit Card,False,Local Restaurant
TXN000157,U001,2020-03-29,2020,3,1215.57,Healthcare,debit,Doctor Consultation,Credit Card,False,Pharmacy
TXN000158,U001,2020-03-30,2020,3,530.68,Dining,debit,Cafe,Cash,False,Domino's
TXN000159,U001,2020-03-31,2020,3,658.48,Entertainment,debit,Gaming,Cash,False,Gaming
TXN000160,U001,2020-04-01,2020,4,55000.0,Salary,credit,Monthly Salary Credit,Bank Transfer,True,Employer
TXN000161,U001,2020-04-01,2020,4,1857.29,Entertainment,debit,BookMyShow,Debit Card,False,BookMyShow
TXN000162,U001,2020-04-01,2020,4,2629.46,Shopping,debit,Nike Store,UPI,False,Nike Store
TXN000163,U001,2020-04-02,2020,4,539.14,Dining,debit,Local Restaurant,Debit Card,False,Cafe
TXN000164,U001,2020-04-03,2020,4,1710.57,Groceries,debit,DMart,Cash,False,BigBasket
TXN000165,U001,2020-04-04,2020,4,1185.06,Transport,debit,Metro Card,Credit Card,False,Parking
TXN000166,U001,2020-04-05,2020,4,1451.2,Groceries,debit,Local Kirana,UPI,False,More Supermarket
TXN000167,U001,2020-04-05,2020,4,1424.31,Dining,debit,Swiggy,Cash,False,Domino's
TXN000168,U001,2020-04-05,2020,4,5038.72,Investment,debit,Mutual Fund SIP,Bank Transfer,True,Mutual Fund SIP
TXN000169,U001,2020-04-05,2020,4,5994.41,Investment,debit,Mutual Fund SIP,Bank Transfer,True,Mutual Fund SIP
TXN000170,U001,2020-04-06,2020,4,3090.67,Dining,debit,Cafe,Cash,False,McDonald's
TXN000171,U001,2020-04-07,2020,4,4779.05,Education,debit,Udemy,Cash,False,Course Fee
TXN000172,U001,2020-04-07,2020,4,1954.35,Healthcare,debit,Lab Tests,UPI,False,Pharmacy
TXN000173,U001,2020-04-08,2020,4,1251.66,Dining,debit,Domino's,UPI,False,McDonald's
TXN000174,U001,2020-04-08,2020,4,2225.85,Transport,debit,Petrol,Credit Card,False,Parking
TXN000175,U001,2020-04-08,2020,4,6653.72,Investment,debit,Stocks,Bank Transfer,False,Stocks
TXN000176,U001,2020-04-10,2020,4,1802.5,Utilities,debit,DTH Recharge,Cash,True,Internet Bill
TXN000177,U001,2020-04-12,2020,4,572.95,Transport,debit,Auto,Debit Card,False,Parking
TXN000178,U001,2020-04-13,2020,4,720.38,Groceries,debit,More Supermarket,UPI,False,BigBasket
TXN000179,U001,2020-04-13,2020,4,675.83,Dining,debit,Local Restaurant,Cash,False,Swiggy
TXN000180,U001,2020-04-13,2020,4,2077.65,Travel,debit,MakeMyTrip,UPI,False,IndiGo
TXN000181,U001,2020-04-13,2020,4,2048.6,Entertainment,debit,Gaming,Debit Card,False,Gaming
TXN000182,U001,2020-04-13,2020,4,616.24,Transport,debit,Auto,Cash,False,Petrol
TXN000183,U001,2020-04-14,2020,4,2099.72,Entertainment,debit,Spotify,UPI,False,Spotify
TXN000184,U001,2020-04-14,2020,4,1461.21,Transport,debit,Auto,Debit Card,False,Parking
TXN000185,U001,2020-04-15,2020,4,1484.11,Dining,debit,McDonald's,UPI,False,Swiggy
TXN000186,U001,2020-04-15,2020,4,5294.07,Healthcare,debit,Doctor Consultation,Cash,False,Lab Tests
TXN000187,U001,2020-04-15,2020,4,2189.86,Transport,debit,Parking,Debit Card,False,Auto
TXN000188,U001,2020-04-16,2020,4,3431.6,Groceries,debit,Local Kirana,Cash,False,Reliance Fresh
TXN000189,U001,2020-04-16,2020,4,2920.62,Dining,debit,Local Restaurant,Credit Card,False,Swiggy
TXN000190,U001,2020-04-16,2020,4,5664.01,Investment,debit,Gold ETF,Bank Transfer,False,Gold ETF
TXN000191,U001,2020-04-19,2020,4,2945.8,Dining,debit,Cafe,Debit Card,False,Local Restaurant
TXN000192,U001,2020-04-19,2020,4,2944.71,Entertainment,debit,Netflix,Cash,False,Netflix
TXN000193,U001,2020-04-19,2020,4,4073.98,Insurance,debit,Vehicle Insurance,Credit Card,True,Vehicle Insurance
TXN000194,U001,2020-04-20,2020,4,1637.37,Groceries,debit,More Supermarket,Cash,False,Reliance Fresh
TXN000195,U001,2020-04-21,2020,4,486.68,Dining,debit,Zomato,Cash,False,McDonald's
TXN000196,U001,2020-04-21,2020,4,623.55,Transport,debit,Metro Card,UPI,False,Parking
TXN000197,U001,2020-04-22,2020,4,1904.51,Groceries,debit,Local Kirana,Cash,False,Local Kirana
TXN000198,U001,2020-04-22,2020,4,3190.41,Utilities,debit,Mobile Recharge,Debit Card,True,DTH Recharge
TXN000199,U001,2020-04-23,2020,4,959.0,Subscriptions,debit,Gym Membership,Cash,True,Gym Membership
TXN000200,U001,2020-04-24,2020,4,3146.57,Groceries,debit,More Supermarket,Cash,False,DMart
TXN000201,U001,2020-04-25,2020,4,616.98,Transport,debit,Metro Card,Cash,False,Parking
TXN000202,U001,2020-04-26,2020,4,3420.6,Groceries,debit,Local Kirana,UPI,False,More Supermarket
TXN000203,U001,2020-04-27,2020,4,13825.72,Investment,debit,Stocks,Bank Transfer,False,Stocks
TXN000204,U001,2020-04-28,2020,4,2781.79,Groceries,debit,DMart,UPI,False,DMart
TXN000205,U001,2020-04-28,2020,4,838.81,Entertainment,debit,Netflix,Credit Card,False,Spotify
TXN000206,U001,2020-04-28,2020,4,968.36,Shopping,debit,Amazon,Debit Card,False,Nike Store
TXN000207,U001,2020-04-28,2020,4,923.28,Transport,debit,Auto,Credit Card,False,Parking
TXN000208,U001,2020-04-29,2020,4,1063.3,Dining,debit,McDonald's,Debit Card,False,Cafe
TXN000209,U001,2020-04-29,2020,4,898.9,Entertainment,debit,Netflix,Cash,False,Amazon Prime
TXN000210,U001,2020-04-30,2020,4,717.02,Entertainment,debit,Gaming,UPI,False,BookMyShow
TXN000211,U001,2020-05-01,2020,5,55000.0,Salary,credit,Monthly Salary Credit,Bank Transfer,True,Employer
TXN000212,U001,2020-05-01,2020,5,1530.5,Dining,debit,Local Restaurant,Credit Card,False,Domino's
TXN000213,U001,2020-05-01,2020,5,2869.65,Entertainment,debit,Amazon Prime,Debit Card,False,Spotify
TXN000214,U001,2020-05-01,2020,5,2176.4,Education,debit,Course Fee,Credit Card,False,Udemy
TXN000215,U001,2020-05-02,2020,5,992.89,Dining,debit,Zomato,Debit Card,False,Local Restaurant
TXN000216,U001,2020-05-03,2020,5,2044.4,Dining,debit,Zomato,Credit Card,False,Swiggy
TXN000217,U001,2020-05-03,2020,5,845.67,Transport,debit,Auto,Credit Card,False,Petrol
TXN000218,U001,2020-05-04,2020,5,9891.03,Investment,debit,Stocks,Bank Transfer,False,Stocks
TXN000219,U001,2020-05-05,2020,5,901.9,Dining,debit,Swiggy,Cash,False,Zomato
TXN000220,U001,2020-05-05,2020,5,9015.93,Investment,debit,Mutual Fund SIP,Bank Transfer,True,Mutual Fund SIP
TXN000221,U001,2020-05-05,2020,5,12735.27,Investment,debit,PPF,Bank Transfer,True,PPF
TXN000222,U001,2020-05-06,2020,5,1873.31,Groceries,debit,More Supermarket,UPI,False,Reliance Fresh
TXN000223,U001,2020-05-06,2020,5,1634.06,Dining,debit,Zomato,Debit Card,False,Zomato
TXN000224,U001,2020-05-06,2020,5,6177.5,Travel,debit,Indian Railways,Credit Card,False,Indian Railways
TXN000225,U001,2020-05-06,2020,5,3040.87,Entertainment,debit,Amazon Prime,Credit Card,False,Netflix
TXN000226,U001,2020-05-06,2020,5,5832.39,Healthcare,debit,Pharmacy,Credit Card,False,Doctor Consultation
TXN000227,U001,2020-05-07,2020,5,1383.28,Groceries,debit,BigBasket,Credit Card,False,Local Kirana
TXN000228,U001,2020-05-08,2020,5,1052.44,Groceries,debit,More Supermarket,Cash,False,BigBasket
TXN000229,U001,2020-05-09,2020,5,1342.94,Groceries,debit,Reliance Fresh,Credit Card,False,More Supermarket
TXN000230,U001,2020-05-09,2020,5,1316.81,Dining,debit,McDonald's,Cash,False,Local Restaurant
TXN000231,U001,2020-05-09,2020,5,5989.82,Healthcare,debit,Doctor Consultation,Debit Card,False,Hospital
TXN000232,U001,2020-05-10,2020,5,1209.31,Groceries,debit,Local Kirana,Debit Card,False,BigBasket
TXN000233,U001,2020-05-10,2020,5,20881.77,Rent,debit,Monthly Rent,Debit Card,True,Monthly Rent
TXN000234,U001,2020-05-11,2020,5,865.69,Dining,debit,Local Restaurant,Cash,False,Swiggy
TXN000235,U001,2020-05-11,2020,5,16972.48,Rent,debit,Monthly Rent,Cash,True,Monthly Rent
TXN000236,U001,2020-05-12,2020,5,1380.95,Groceries,debit,More Supermarket,Credit Card,False,Local Kirana
TXN000237,U001,2020-05-13,2020,5,2887.23,Dining,debit,Zomato,Debit Card,False,Local Restaurant
TXN000238,U001,2020-05-13,2020,5,2440.41,Transport,debit,Parking,UPI,False,Metro Card
TXN000239,U001,2020-05-14,2020,5,1626.96,Dining,debit,Zomato,UPI,False,Cafe
TXN000240,U001,2020-05-14,2020,5,1150.07,Transport,debit,Petrol,UPI,False,Parking
TXN000241,U001,2020-05-16,2020,5,365.36,Dining,debit,Local Restaurant,Cash,False,Local Restaurant
TXN000242,U001,2020-05-16,2020,5,25261.41,Travel,debit,MakeMyTrip,Debit Card,False,MakeMyTrip
TXN000243,U001,2020-05-16,2020,5,1387.85,Entertainment,debit,BookMyShow,Debit Card,False,Amazon Prime
TXN000244,U001,2020-05-17,2020,5,1141.86,Groceries,debit,BigBasket,Credit Card,False,Local Kirana
TXN000245,U001,2020-05-17,2020,5,2238.29,Entertainment,debit,Amazon Prime,Cash,False,BookMyShow
TXN000246,U001,2020-05-17,2020,5,821.2,Subscriptions,debit,Magazine,Debit Card,True,Magazine
TXN000247,U001,2020-05-18,2020,5,4301.79,Groceries,debit,More Supermarket,Cash,False,BigBasket
TXN000248,U001,2020-05-19,2020,5,1916.28,Groceries,debit,Local Kirana,Debit Card,False,BigBasket
TXN000249,U001,2020-05-19,2020,5,985.82,Dining,debit,Cafe,Cash,False,Zomato
TXN000250,U001,2020-05-20,2020,5,386.94,Dining,debit,McDonald's,Cash,False,Domino's
TXN000251,U001,2020-05-22,2020,5,1322.76,Dining,debit,Zomato,Debit Card,False,Zomato
TXN000252,U001,2020-05-22,2020,5,2484.55,Transport,debit,Petrol,Credit Card,False,Parking
TXN000253,U001,2020-05-23,2020,5,2002.13,Dining,debit,McDonald's,Credit Card,False,McDonald's
TXN000254,U001,2020-05-25,2020,5,1991.08,Dining,debit,McDonald's,Credit Card,False,Zomato
TXN000255,U001,2020-05-25,2020,5,1028.85,Transport,debit,Parking,UPI,False,Petrol
TXN000256,U001,2020-05-26,2020,5,3803.71,Groceries,debit,BigBasket,Debit Card,False,DMart
TXN000257,U001,2020-05-26,2020,5,322.11,Entertainment,debit,Amazon Prime,Debit Card,False,Amazon Prime
TXN000258,U001,2020-05-26,2020,5,1180.01,Transport,debit,Parking,UPI,False,Auto
TXN000259,U001,2020-05-27,2020,5,847.16,Dining,debit,Zomato,Debit Card,False,Cafe
TXN000260,U001,2020-05-28,2020,5,1407.62,Transport,debit,Petrol,Credit Card,False,Auto
TXN000261,U001,2020-05-29,2020,5,899.33,Dining,debit,Domino's,UPI,False,Cafe
TXN000262,U001,2020-06-01,2020,6,55000.0,Salary,credit,Monthly Salary Credit,Bank Transfer,True,Employer
TXN000263,U001,2020-06-01,2020,6,2017.04,Groceries,debit,More Supermarket,Cash,False,More Supermarket
